iter	MultiClass
0	5.283434724
1	5.252401571
2	5.224612575
3	5.19220144
4	5.167363179
5	5.141864593
6	5.116427213
7	5.093052338
8	5.063695701
9	5.040409882
10	5.012143818
11	4.985305028
12	4.95610933
13	4.924605393
14	4.902353217
15	4.873749342
16	4.844125492
17	4.815701476
18	4.789666085
19	4.763730069
20	4.739134567
21	4.718391547
22	4.692916422
23	4.665958716
24	4.643238479
25	4.6210492
26	4.597984801
27	4.581761268
28	4.568735016
29	4.546425299
30	4.526309209
31	4.508096518
32	4.48761144
33	4.462572845
34	4.442855251
35	4.425177037
36	4.400903203
37	4.377828299
38	4.359921726
39	4.342764726
40	4.322604684
41	4.29877734
42	4.284895106
43	4.264774086
44	4.245271901
45	4.222570327
46	4.205153518
47	4.186663214
48	4.168330777
49	4.156249138
50	4.134697919
51	4.115244188
52	4.093810564
53	4.075211041
54	4.057373389
55	4.043940926
56	4.021153438
57	4.002436373
58	3.991464684
59	3.981023498
60	3.963578542
61	3.944100118
62	3.929456547
63	3.915516702
64	3.901173632
65	3.886527569
66	3.867112255
67	3.855702172
68	3.835332091
69	3.819238934
70	3.800236224
71	3.786909989
72	3.769643657
73	3.752387368
74	3.73769894
75	3.723187915
76	3.715565368
77	3.699260812
78	3.680375555
79	3.660075847
80	3.639390894
81	3.622795792
82	3.604682976
83	3.593047582
84	3.575508319
85	3.555609243
86	3.551111587
87	3.541186921
88	3.524652003
89	3.504992362
90	3.488543754
91	3.472145006
92	3.458927002
93	3.439424573
94	3.42091608
95	3.408018238
96	3.394220411
97	3.377751668
98	3.361447678
99	3.342934101
100	3.324938737
101	3.306563581
102	3.289140494
103	3.282928428
104	3.264631428
105	3.249669958
106	3.234722219
107	3.221152302
108	3.207900476
109	3.198993052
110	3.188765144
111	3.175452046
112	3.161224303
113	3.144546657
114	3.132406012
115	3.114604158
116	3.10023077
117	3.088598027
118	3.071342534
119	3.060589403
120	3.048365972
121	3.039148705
122	3.030404438
123	3.025074619
124	3.021226141
125	3.005251083
126	2.995194639
127	2.984435025
128	2.971424147
129	2.961277322
130	2.953974155
131	2.941862948
132	2.932159542
133	2.920798907
134	2.911265862
135	2.899934362
136	2.891383522
137	2.881862229
138	2.87154947
139	2.858134185
140	2.851008891
141	2.838418357
142	2.829180597
143	2.823262011
144	2.810851573
145	2.799738644
146	2.791424319
147	2.778008343
148	2.76349983
149	2.750067876
150	2.736729638
151	2.729134191
152	2.727392626
153	2.715563077
154	2.705383996
155	2.69885558
156	2.68737463
157	2.683428122
158	2.670832354
159	2.663397982
160	2.652732241
161	2.642059998
162	2.634845408
163	2.628374071
164	2.627178297
165	2.619585334
166	2.61299303
167	2.600417572
168	2.591954167
169	2.584892403
170	2.576721101
171	2.564359149
172	2.556483173
173	2.549898777
174	2.538355575
175	2.537678689
176	2.525533235
177	2.513983219
178	2.509387376
179	2.500427932
180	2.487632434
181	2.481897963
182	2.474518286
183	2.46429083
184	2.460219136
185	2.450329351
186	2.445717821
187	2.434626617
188	2.423718294
189	2.410185773
190	2.401553929
191	2.387591041
192	2.378706973
193	2.368414467
194	2.363448152
195	2.354918004
196	2.347984269
197	2.340046716
198	2.330033016
199	2.31793236
200	2.309003916
201	2.308009923
202	2.29622724
203	2.291602834
204	2.284975617
205	2.27495008
206	2.266831634
207	2.255820636
208	2.248129337
209	2.238182413
210	2.2327224
211	2.218915193
212	2.207011432
213	2.201155545
214	2.193525442
215	2.189673369
216	2.184583949
217	2.183348122
218	2.171799731
219	2.160606671
220	2.153592856
221	2.148349977
222	2.141419236
223	2.137006283
224	2.124581287
225	2.1235441
226	2.122103387
227	2.11567094
228	2.102711129
229	2.095490844
230	2.081482343
231	2.074275314
232	2.061365337
233	2.050890148
234	2.038266824
235	2.026348616
236	2.01823248
237	2.009378187
238	2.004477404
239	1.999794152
240	1.990806228
241	1.982329327
242	1.968952604
243	1.964116966
244	1.958183989
245	1.950636974
246	1.942009756
247	1.935302367
248	1.926393261
249	1.916915022
250	1.907934941
251	1.901116098
252	1.891495835
253	1.885523369
254	1.879284631
255	1.868705016
256	1.859920893
257	1.849024055
258	1.83827272
259	1.830547973
260	1.820818309
261	1.810671431
262	1.801994721
263	1.793423645
264	1.787585353
265	1.785441523
266	1.780286694
267	1.77059679
268	1.762629724
269	1.754323712
270	1.743895463
271	1.739134598
272	1.735996122
273	1.726800719
274	1.717214619
275	1.711404859
276	1.70811011
277	1.699744421
278	1.690696033
279	1.681521873
280	1.678913012
281	1.67121964
282	1.667686819
283	1.659013451
284	1.651124797
285	1.64543012
286	1.635863695
287	1.627228433
288	1.620573197
289	1.612288203
290	1.608730737
291	1.603377689
292	1.600076099
293	1.590346289
294	1.578903191
295	1.571829607
296	1.571122918
297	1.563079864
298	1.559821872
299	1.556689261
300	1.548320984
301	1.540406541
302	1.531450792
303	1.521644417
304	1.516040631
305	1.509894725
306	1.50310187
307	1.495182673
308	1.490764447
309	1.485790226
310	1.480906131
311	1.475409235
312	1.472583295
313	1.463352562
314	1.455133685
315	1.447119588
316	1.442926846
317	1.436884938
318	1.436330071
319	1.428749143
320	1.420192936
321	1.418711667
322	1.40933372
323	1.40098395
324	1.396008724
325	1.386118132
326	1.378815911
327	1.37063458
328	1.363717836
329	1.358466931
330	1.353256426
331	1.344511178
332	1.336426121
333	1.328773159
334	1.323998909
335	1.319488081
336	1.314330833
337	1.307225078
338	1.301094821
339	1.293034441
340	1.288140179
341	1.286164665
342	1.281363168
343	1.278523217
344	1.274371741
345	1.27062447
346	1.267210529
347	1.262956541
348	1.256181217
349	1.248202576
350	1.241997421
351	1.235141287
352	1.226559134
353	1.221529956
354	1.219122751
355	1.213987671
356	1.209525561
357	1.20397963
358	1.20164063
359	1.197010143
360	1.190597111
361	1.186722558
362	1.180668008
363	1.176927257
364	1.17189276
365	1.164971783
366	1.157854557
367	1.151623962
368	1.146435553
369	1.140532155
370	1.140072343
371	1.133359414
372	1.132835169
373	1.126013173
374	1.120105975
375	1.116109784
376	1.109935704
377	1.108027085
378	1.102737652
379	1.097843372
380	1.095922768
381	1.092527918
382	1.087190941
383	1.084070323
384	1.077856913
385	1.073790606
386	1.069808639
387	1.067355577
388	1.064330283
389	1.06211153
390	1.059655136
391	1.05542955
392	1.049447611
393	1.046024228
394	1.041247559
395	1.037513083
396	1.034781876
397	1.031622469
398	1.028238202
399	1.023589577
400	1.018977107
401	1.017359849
402	1.012639477
403	1.008242811
404	1.003899028
405	1.000960631
406	0.9957541653
407	0.993755982
408	0.9889241434
409	0.9875728942
410	0.9840833253
411	0.9796708807
412	0.9746042883
413	0.9687792952
414	0.9653951982
415	0.9636549036
416	0.9590297856
417	0.9567701433
418	0.9513592575
419	0.946811551
420	0.9446867876
421	0.9406137189
422	0.9364628444
423	0.9316787744
424	0.926123185
425	0.9216443451
426	0.9191624316
427	0.9146658022
428	0.9123335556
429	0.9100667523
430	0.9062597815
431	0.9017364392
432	0.8969215552
433	0.8925497721
434	0.8889221857
435	0.8838202471
436	0.8807715075
437	0.8768592272
438	0.8734269292
439	0.8714188946
440	0.8683789387
441	0.8657595546
442	0.8640925776
443	0.8597721345
444	0.8563320414
445	0.8532194756
446	0.8496369783
447	0.8466541948
448	0.843230168
449	0.8407568952
450	0.8378477808
451	0.8343972616
452	0.8305963739
453	0.8259575624
454	0.8223688664
455	0.8180550135
456	0.8139515886
457	0.8108842172
458	0.8081364992
459	0.8052387893
460	0.801295285
461	0.7993872406
462	0.7969930225
463	0.7956585863
464	0.793519159
465	0.7931619888
466	0.7889937403
467	0.786006022
468	0.7826916714
469	0.7797171801
470	0.7758900404
471	0.7726309097
472	0.768849805
473	0.7652613259
474	0.7621098807
475	0.7605817322
476	0.7586543084
477	0.7555056105
478	0.7515636545
479	0.7495810992
480	0.7474605654
481	0.7460941403
482	0.7432878876
483	0.7410448967
484	0.7385362342
485	0.7372776143
486	0.7338507271
487	0.7320184103
488	0.7288688356
489	0.7257946142
490	0.7219132472
491	0.7198761415
492	0.7170147475
493	0.7135394744
494	0.7106083292
495	0.7071557069
496	0.7049498793
497	0.7045278451
498	0.7016332
499	0.6984711429
500	0.6950749043
501	0.6922862162
502	0.691347879
503	0.6901994071
504	0.6869875293
505	0.6839852291
506	0.6815554234
507	0.6800906859
508	0.6776637343
509	0.6752424788
510	0.6727648323
511	0.6694957144
512	0.6688834223
513	0.6657689851
514	0.6641067965
515	0.6606644744
516	0.6588479537
517	0.658199495
518	0.6545163839
519	0.6518735413
520	0.6496961641
521	0.6467521072
522	0.6425623371
523	0.6400711104
524	0.637780126
525	0.6349788435
526	0.6319884187
527	0.6293869981
528	0.6271689871
529	0.6239885817
530	0.6212174691
531	0.6202565399
532	0.61769945
533	0.6151956844
534	0.6140858993
535	0.6124942862
536	0.6099639801
537	0.6076752549
538	0.6054834298
539	0.6029598849
540	0.6017632467
541	0.5990597229
542	0.5981222686
543	0.5959082878
544	0.5941076386
545	0.591511707
546	0.5887330415
547	0.5865936049
548	0.5839033764
549	0.5823710483
550	0.5797315453
551	0.5770618821
552	0.5754195237
553	0.5740669806
554	0.5718535698
555	0.5706321738
556	0.5686179432
557	0.5658839717
558	0.5639009938
559	0.5616305079
560	0.5601783855
561	0.5591851382
562	0.5570295044
563	0.5550019118
564	0.5529626658
565	0.5505044661
566	0.5490491484
567	0.5463632823
568	0.5439371747
569	0.5417463636
570	0.539168928
571	0.5371317342
572	0.5357152112
573	0.5355006633
574	0.5330860412
575	0.531186576
576	0.5295700352
577	0.5272927256
578	0.525992416
579	0.5237311707
580	0.5219253896
581	0.5207554566
582	0.5194981228
583	0.5184487813
584	0.516055025
585	0.5142332148
586	0.5125446105
587	0.5097540616
588	0.5077058846
589	0.5055260691
590	0.5041239005
591	0.5030557367
592	0.5017964572
593	0.4992016243
594	0.4978520224
595	0.4958518468
596	0.4954921417
597	0.4946853027
598	0.4935557713
599	0.4924241304
600	0.490677997
601	0.4893489482
602	0.4873531484
603	0.4855309698
604	0.483942698
605	0.4821800583
606	0.4809201043
607	0.4800482221
608	0.4784670468
609	0.4773653315
610	0.4762961472
611	0.4743098236
612	0.4734466486
613	0.4718480346
614	0.4696984655
615	0.4679185479
616	0.4666975922
617	0.465960112
618	0.4643865947
619	0.4636681679
620	0.4617458744
621	0.4604363872
622	0.4596928741
623	0.4587586857
624	0.4567643694
625	0.4550174326
626	0.4533211903
627	0.4514578853
628	0.4502675635
629	0.4487302454
630	0.4477736748
631	0.4465650475
632	0.4450410918
633	0.443573271
634	0.4418250613
635	0.440721152
636	0.4395628021
637	0.4382924928
638	0.4373245785
639	0.4356429428
640	0.4349797733
641	0.4332500069
642	0.4315102301
643	0.4309746781
644	0.4298635057
645	0.4292504426
646	0.4281393499
647	0.426689419
648	0.4248634274
649	0.4234628639
650	0.4224227076
651	0.4208843146
652	0.4190678659
653	0.4178594739
654	0.4164901022
655	0.4162608975
656	0.4150786304
657	0.4145060313
658	0.4136472183
659	0.4120927393
660	0.4106575242
661	0.4094307955
662	0.4088115755
663	0.4081342514
664	0.4075267275
665	0.4063354679
666	0.4049942684
667	0.4037487152
668	0.4022001635
669	0.4015637787
670	0.4001484861
671	0.3993711269
672	0.3983980286
673	0.3971048098
674	0.3956530621
675	0.394412213
676	0.393221439
677	0.392080686
678	0.3906563426
679	0.3891222731
680	0.3876464394
681	0.3868263716
682	0.3853234192
